cond,n,success_n,success_rate,time_mean_s,time_median_s,time_std_s,stt_mean_s,stt_median_s,gaze_mean_s,gaze_median_s
C2_STT_GAZE_YESNO,89,48,0.5393258426966292,22.21862968153466,22.148422094153904,3.291970592832613,4.489599912803521,4.530017384561199,1.2680229676656458,1.2554293725173173
C2_STT_ONLY,81,23,0.2839506172839506,25.97924958064952,26.02438900212075,2.9949503784601488,4.591904118537965,4.604091083635853,,
