cmd,cond,mapping,phase,reason,success,t_ms,total_s,trial,type
,C2_STT_GAZE_YESNO,,,,,1765930515609,,7,trial_start
run_notepad,C2_STT_GAZE_YESNO,,,,,1765930520715,,7,stt_ok
,C2_STT_GAZE_YESNO,F10=YES(left) F11=NO(right),,,,1765930520771,,7,ask_yesno
,C2_STT_GAZE_YESNO,,wait_yesno,phase_not_do_task,,1765930535429,,7,done_ignored
,C2_STT_GAZE_YESNO,,,manual_stop,False,1765930536602,20.993,7,trial_end
