action,cmd,cond,mapping,phase,reason,success,t_ms,total_s,trial,type,typed,yes
,,C2_STT_GAZE_YESNO,,,,,1765932057347,,3,trial_start,,
,run_notepad,C2_STT_GAZE_YESNO,,,,,1765932061762,,3,stt_ok,,
,,C2_STT_GAZE_YESNO,F10=YES(left) F11=NO(right),,,,1765932061799,,3,ask_yesno,,
,,C2_STT_GAZE_YESNO,,,,,1765932062070,,3,decision,,True
type_sentence,,C2_STT_GAZE_YESNO,,,,,1765932062089,,3,task_begin,,
,,C2_STT_GAZE_YESNO,,do_task,phase_not_wait_yesno,,1765932066083,,3,yes_ignored,,
,,C2_STT_GAZE_YESNO,,,,,1765932078340,,3,task_done,True,
,,C2_STT_GAZE_YESNO,,,ok,True,1765932078384,21.037,3,trial_end,,
