cond,goal,mode,reason,success,t_ms,target,total_s,trial,type
C4_multimodal,B3,A,,,1765723039423,,,1,trial_start
,,,,,1765723040047,C3,,,hover
,,,,,1765723040396,C2,,,hover
,,,,,1765723040736,None,,,hover
,,,,,1765723044329,C2,,,hover
C4_multimodal,,,,,1765723044517,,,,click_ignored
,,,,,1765723044908,B2,,,hover
C4_multimodal,,,,,1765723045173,,,,click_ignored
,,,,,1765723045986,C2,,,hover
,,,,,1765723046048,None,,,hover
,,,manual_stop,False,1765723047109,,7.686,1,trial_end
